skills,profession
"Подготовка отчетов, Аналитическое мышление, Bash-скрипты, Резервное копирование, Администрирование Linux, Настройка фаерволов, Виртуализация серверов, Системы мониторинга, Безопасность сетей, Облачная инфраструктура, VMware, Разработка новых идей",Системный администратор
"Ответственность, Тайм-менеджмент, Scala, Управление временем, Облачное хранение, SQL, Моделирование данных",Инженер данных
"Node.js, SQL, CSS, MongoDB, Webpack, Адаптивная верстка, React, Публичные выступления, Системы аутентификации",Фулстек-разработчик
"Планирование спринтов, Лидерство, Отчетность, Соблюдение сроков, Водопадная модель, Разрешение конфликтов, Управление заинтересованными сторонами, Знание PMBOK",Руководитель проектов
"Безопасность сетей, Криптография, Деловая переписка, Обучаемость",Специалист по информационной безопасности
"SQL, Data Lake Architecture, Поддержание документооборота, Разработка новых идей, Kafka",Инженер по данным
"Kafka, Соблюдение сроков, Самомотивация, Airflow",Инженер данных
"Понимание UX, Создание отчетов, Когортный анализ, Google Analytics, Тайм-менеджмент, Ведение социальных сетей, Работа с SQL, Работа с метриками продукта, Создание дашбордов",Аналитик по продукту
"Конфиденциальность пациента, Этические стандарты, Детская психология, Методы консультирования, Клиентоориентированность, Кризисное вмешательство, Тайм-менеджмент, Клиническая оценка",Психолог
"Работа с ERP-системами, Контроль затрат, Составление аналитических отчетов, Финансовое моделирование, Самомотивация, Оценка инвестиционных проектов, Анализ денежных потоков, Креативность, Прогнозирование финансов, Лидерские качества",Финансовый аналитик
"Коммуникабельность, Построение долгосрочных отношений, Анализ потребностей клиентов, Холодные звонки, Планирование встреч, Навыки продаж, Заключение сделок, Лидерские качества, Активные продажи",Менеджер по продажам
"Консультация клиентов, Химические обработки, Работа в команде, Окрашивание волос, Знание продукции",Парикмахер
"Техническое обслуживание автомобиля, Участие в мозговых штурмах, Работа с GPS, Знание ПДД, Ведение записей, Крепление грузов, Правила дорожного движения, Соблюдение сроков, Тайм-менеджмент, Планирование маршрута",Водитель
"Пространственный звук, Программирование шейдеров, SDK виртуальной реальности, UX для VR/AR, Симуляция физики, Unity, Unreal Engine, Тайм-менеджмент, Оптимизация сцен, 3D-моделирование, Разработка предложений",Разработчик VR/AR
"VMware, Групповые политики, Инструменты автоматизации, Active Directory, Windows Server, Коммуникабельность, Администрирование Linux, Сетевые технологии, Работа в команде, Виртуализация серверов",Системный администратор
"Коммуникабельность, Управление временем, Работа в международной среде, Подача блюд, Организация кейтеринга, Нарезка овощей",Повар
"Контроль веса, Оценка физической формы, Постановка целей, Профилактика травм, Гибкость мышления, Силовые тренировки, Координация мероприятий, Развитие гибкости, Консультации по питанию",Фитнес-тренер
"GraphQL, Обратная связь сотрудникам, Координация мероприятий, Django, React, Системы аутентификации, HTML, Node.js, TypeScript, Работа в команде, JavaScript, REST API",Фулстек-разработчик
"Финансовая грамотность, Kafka, ETL-пайплайны, Big Data, Оптимизация запросов, DevOps для данных",Инженер по данным
"Первая помощь, Постановка диагноза, Гибкость мышления, Коммуникация с пациентом, Экстренная помощь, Тайм-менеджмент, Клинические исследования, Осмотр пациента, Многозадачность, Медицинская этика, Анализ анамнеза",Врач
"Юридические исследования, Консультирование клиентов, Умение работать удаленно, Представительство в суде, Корпоративное право, Управление изменениями, Судебные разбирательства, Анализ законодательства, Договорное право, Уголовное право",Юрист
"Финансовое моделирование, Разработка новых идей, Самостоятельность, Работа с BI-платформами, Анализ денежных потоков, Оценка инвестиционных проектов, Анализ рынка, Оценка рисков, Прогнозирование финансов, Планирование бюджета",Финансовый аналитик
"Node.js, Гибкость мышления, REST API, SQL, MongoDB, TypeScript, Express.js, JavaScript, Системы аутентификации",Фулстек-разработчик
"Kafka, Airflow, Data Lake Architecture, Эмоциональный интеллект, Проектирование баз данных",Инженер по данным
"Работа с SOC, SIEM-системы, Шифрование данных, Обратная связь сотрудникам",Специалист по кибербезопасности
"Знание фармакологии, Работа с кассой, Управление товарными запасами, Консультирование покупателей, Отпуск рецептурных препаратов, Копирайтинг, Соблюдение санитарных норм, Оценка взаимодействия лекарств, Продажа товаров для здоровья, Проведение презентаций",Фармацевт-консультант
"Основы анимации, Прототипирование, Дизайн уровней, Искусственный интеллект в играх, UX в играх, Самомотивация, Креативность, Игровая механика, Копирайтинг, Скриптинг, Балансировка игрового процесса, Дизайн персонажей, C#",Гейм-дизайнер
"Управление рисками, Лидерство, Разрешение конфликтов, Самомотивация, Многозадачность, Знание PMBOK",Руководитель проектов
"Тонкая настройка гиперпараметров, Поддержание документооборота, Машинное обучение",Инженер машинного обучения
"Знание PMBOK, Управление объемом работ, Распределение ресурсов, Решение проблем, Разрешение конфликтов",Руководитель проектов
"Работа с сообществами, Консультирование, Разрешение конфликтов, Культурная чувствительность, Знание социальных служб, Поддержка пожилых людей, Эмпатия, Кризисное вмешательство, Базовые навыки работы с данными, Поддержка психического здоровья, Организационные навыки, Координация ресурсов",Социальный работник
"Участие в мозговых штурмах, Создание отчетов об ошибках, Очистка данных",Специалист по качеству данных
"Эмоциональный интеллект, Оценка физической формы, Лидерские качества, Обучение здоровому образу жизни, Реабилитационные тренировки, Персональный тренинг, Контроль веса, Профилактика травм, Консультации по питанию, Групповые тренировки, Кардионагрузки, Работа в команде, Навыки оказания первой помощи",Фитнес-тренер
"Мотивация клиентов, Обучение здоровому образу жизни, Групповые тренировки, Консультации по питанию, Планирование тренировок, Работа в команде",Фитнес-тренер
"Чтение электрических схем, Монтаж солнечных панелей, Монтаж кабельных каналов, Поиск и устранение неисправностей, Понимание основ маркетинга, Коммерческая электрика, Меры безопасности, Электротехнические нормы, Участие в мозговых штурмах, Работа в команде",Электрик
"Webpack, TypeScript, Базовые юридические знания, REST API, MongoDB",Фулстек-разработчик
"Постановка целей, Кредиторская задолженность, Управление денежными потоками, Бухгалтерский учет, QuickBooks, Бюджетирование, Деловая переписка, Налогообложение, Учет затрат, Финансовый анализ",Бухгалтер
"Обслуживание пользователей, Публичные выступления, Поиск информации, Маркетинг библиотеки, Авторское право, Обмен ресурсами, Работа в международной среде, Сохранение фондов, Управление библиотечными системами",Библиотекарь
"Навыки деловых переговоров, Развертывание в облаке, Kubernetes, Ansible, Лидерские качества, Terraform, Linux, Основы сетей",Инженер DevOps
"Взаимодействие с бухгалтерами, Работа с ERP-системами, Анализ денежных потоков, Планирование бюджета, Анализ рынка, Работа в Excel, Отчетность для руководства, Подготовка отчетов, Составление аналитических отчетов, Работа с BI-платформами",Финансовый аналитик
"Водопадная модель, Бюджетирование, Поддержание документооборота, Управление объемом работ, Разрешение конфликтов, Работа с офисной техникой, Управление рисками, Agile, Scrum Master",Руководитель проектов
"Работа с JIRA, Работа с BI-инструментами, Решение проблем, Многозадачность, Когортный анализ, Google Analytics, Работа с метриками продукта, Метрики конверсии",Аналитик по продукту
"Коммуникация с пациентом, Управление стационаром, Управление конфликтами, Планирование лечения, Мониторинг состояния, Навыки исследования, Поддержание документооборота, Осмотр пациента",Врач
"Создание дашбордов, Управление изменениями, Создание отчетов",Аналитик по продукту
"Наставничество, Тонкая настройка гиперпараметров, Соблюдение сроков, Нейронные сети, Публичные выступления",Инженер машинного обучения
"Работа в международной среде, Финансовый анализ, Кредиторская задолженность, Финансовая отчетность, Управление заработной платой, Налогообложение, Публичные выступления, Бухгалтерский учет",Бухгалтер
"Решение проблем, Умение работать удаленно, Решение конфликтов, Управление HR-системами, Организация обучения, Ведение социальных сетей",HR-специалист
"Многозадачность, Многозадачность, Соблюдение чистоты, Обслуживание клиентов, Деловая переписка, Знание меню, Навыки деловых переговоров, Профессиональный внешний вид, Решение проблем, Сервировка столов, Навыки коммуникации",Официант
"Бизнес-анализ, Wireframing, Исследование пользователей, Организационные навыки, Основы UX",Продуктовый менеджер (IT)
"Консультации по безрецептурным препаратам, Продажа товаров для здоровья, Работа под давлением, Разработка предложений, Оценка взаимодействия лекарств, Работа с поставщиками, Поддержание выкладки, Консультирование покупателей",Фармацевт-консультант
"Публичные выступления, Коммуникация с владельцами животных, Управление анестезией, Ведение документации, Интерпретация рентгеновских снимков, Экстренная помощь животным, Вакцинация, Лабораторные исследования",Ветеринар
"Межсетевые экраны, Участие в мозговых штурмах, Разработка новых идей, Linux Security, Penetration Testing, Обеспечение безопасности облаков, Risk Assessment, Аудит безопасности, Работа с SOC, Анализ уязвимостей, Контроль доступа",Специалист по кибербезопасности
"Проведение презентаций, Flutter, MVVM, React Native, Swift, Dart",Мобильный разработчик
"Наставничество, Навыки деловых переговоров, Анализ уязвимостей, Обратная связь сотрудникам, Конфигурация фаерволов",Специалист по кибербезопасности
"Компьютерное зрение, AWS, Работа в международной среде",Инженер машинного обучения
"Силовые тренировки, Кардионагрузки, Работа с офисной техникой, Консультации по питанию, Оценка физической формы, Контроль веса, Креативность, Развитие гибкости, Обучение здоровому образу жизни, Навыки оказания первой помощи",Фитнес-тренер
"Стратегическое мышление, Работа в международной среде, Укрепление мышц, Работа с травмированными пациентами, Проведение физиопроцедур",Физиотерапевт
"Управление изменениями, Wireframing, Основы анимации, Photoshop, Креативность",Графический дизайнер
"Конфигурация фаерволов, Risk Assessment, Организационные навыки",Специалист по кибербезопасности
"Очистка данных, Ответственность, Аналитическое мышление, Python, Визуализация данных, Работа с инструментами мониторинга, Data Profiling, Создание отчетов об ошибках, SQL, Работа с большими данными, Самомотивация, Тестирование API, Тестирование ETL-процессов",Специалист по качеству данных
"Ведение записей, Крепление грузов, Техническое обслуживание автомобиля, Управление временем, Дальние поездки, Обслуживание клиентов, Проведение презентаций, Экономия топлива, Грамотная речь",Водитель
"Регуляторное соответствие, Юридические исследования, Анализ законодательства, Навыки ведения переговоров, Оценка рисков, Договорное право, Организационные навыки, Корпоративное право, Гражданское право, Консультирование клиентов, Судебные разбирательства",Юрист
"Customer Journey Mapping, Контроль качества, Data Storytelling, Понимание UX, Работа с JIRA, Business Analysis, Метрики конверсии, Когортный анализ, Работа с BI-инструментами",Аналитик по продукту
"Проверка качества данных, Анализ данных, Data Validation, Решение проблем, Работа с большими данными",Специалист по качеству данных
"Django, Адаптивная верстка, HTML, CSS, Node.js, Самомотивация, Решение проблем, React, Управление конфликтами",Фулстек-разработчик
"Penetration Testing, Анализ уязвимостей, Обеспечение безопасности облаков, Конфигурация фаерволов, Контроль доступа, Работа с SOC, Linux Security, Обеспечение соответствия стандартам, Аудит безопасности, Организационные навыки",Специалист по кибербезопасности
"Тестирование ETL-процессов, Data Validation, Анализ данных, Data Profiling, Базовые юридические знания, Очистка данных, Визуализация данных, Работа с большими данными, Самомотивация",Специалист по качеству данных
"Python, Нейронные сети, Клиентоориентированность",Data Scientist
"Дизайн уровней, Искусственный интеллект в играх, Скриптинг, Основы анимации, Физические движки, Работа в команде, Unreal Engine, Unity",Гейм-дизайнер
"Ответственность, Нейронные сети, Docker, Предобработка данных, Тонкая настройка гиперпараметров, Навыки продаж, TensorFlow, Большие данные, Машинное обучение",Инженер машинного обучения
"Подготовка отчетов, Финансовая грамотность, Нагрузочное тестирование, Отчетность по багам",Инженер по тестированию ПО
"Управление электродвигателями, Жилая электрика, Установка генераторов, Чтение электрических схем, Работа в команде, Меры безопасности, Распределение электроэнергии, Управление изменениями, Поиск и устранение неисправностей, Монтаж солнечных панелей",Электрик
"Обратная связь сотрудникам, Организация обучения, Работа с LinkedIn, Грамотная речь, Адаптация сотрудников, Деловая переписка",HR-специалист
"SQL, Оптимизация запросов, Hadoop, Моделирование данных, Аналитическое мышление, Cloud Storage, Docker, DevOps для данных",Инженер по данным
"Знание ПДД, Крепление грузов, Обслуживание клиентов, Умение работать удаленно, Работа с GPS, Ведение записей, Навигационные навыки, Правила дорожного движения, Тайм-менеджмент, Координация мероприятий",Водитель
"Публичные выступления, Подбор персонала, Развитие бренда работодателя, Понимание основ маркетинга, Адаптация сотрудников, Навыки коммуникации, Разработка мотивационных программ, Участие в построении корпоративной культуры, Управление конфликтами, Кадровое делопроизводство",HR-специалист
"Разрешение конфликтов, Навыки исследования, Навыки допродажи, Тайм-менеджмент",Официант
"Понимание основ маркетинга, Базовые навыки работы с данными, Работа с офисной техникой, Регуляторное соответствие, Excel для бухгалтерии",Бухгалтер
"Тайм-менеджмент, Прием заказов, Безопасность пищевых продуктов, Самостоятельность, Знание меню, Участие в мозговых штурмах, Навыки коммуникации, Многозадачность, Соблюдение чистоты, Работа с POS-системами, Профессиональный внешний вид, Навыки допродажи",Официант
"Оценка рисков, Корпоративное право, Гражданское право, Анализ законодательства, Уголовное право, Юридические исследования, Судебные разбирательства, Составление юридических документов, Креативность, Договорное право, Навыки ведения переговоров",Юрист
"Наращивание волос, Удержание клиентов, Подготовка отчетов, Химические обработки, Мужские стрижки, Консультация клиентов, Знание продукции, Отслеживание трендов",Парикмахер
"Групповые политики, Решение проблем, Настройка VPN, Инструменты автоматизации, Windows Server, Облачная инфраструктура, Работа с офисной техникой, Резервное копирование",Системный администратор
"Навыки ведения переговоров, Анализ законодательства, Юридические исследования, Трудовое право, Представительство в суде, Составление юридических документов, Регуляторное соответствие, Аналитическое мышление, Многозадачность, Уголовное право, Договорное право, Судебные разбирательства",Юрист
"Разработка учебных программ, Организационные навыки, Творческое преподавание, Планирование уроков, Ораторское искусство, Образовательные технологии",Учитель
"Командная работа, Уход за ранами, Наставничество, Введение лекарств, Уход за пожилыми людьми, Ведение документации",Медсестра
"Перемещение материалов, Коммуникабельность, Подготовка площадки, Каркасное строительство, Основы сварки, Монтаж строительных лесов",Строитель
"Понимание основ маркетинга, DevOps для данных, Docker",Инженер по данным
"Реагирование на инциденты, Организационные навыки, Конфигурация фаерволов, Межсетевые экраны, SIEM-системы, Обнаружение вторжений",Специалист по кибербезопасности
"Развертывание в облаке, Jenkins, Основы сетей, Обратная связь сотрудникам",Инженер DevOps
"Распределение ресурсов, Лидерство, Эмоциональный интеллект, Работа под давлением, Планирование проектов, Разработка новых идей, Управление объемом работ",Руководитель проектов
"Работа в команде, Лучшие практики безопасности, Проектирование API, Навыки продаж, AWS, Распределенные системы",Системный архитектор
"Фаерволы, Умение работать удаленно, Деловая переписка, Аналитика угроз, Криптография, Проведение тестов на проникновение, Системы IDS/IPS, Управление изменениями",Специалист по информационной безопасности
"Базовые навыки работы с данными, Стратегическое мышление, MongoDB, CSS, Node.js, REST API",Фулстек-разработчик
"Типографика, Управление временем, Прототипирование, Визуальная коммуникация, Стратегическое мышление, Макетирование, Illustrator",Графический дизайнер
"Инфраструктура как код, Контроль качества, Docker, Helm, Prometheus, Развертывание в облаке",Инженер DevOps
"Развертывание моделей, Нейронные сети, Spark, Навыки продаж, SQL, Numpy",Data Scientist
"Нейронные сети, Глубокое обучение, Pandas, Машинное обучение, Понимание основ маркетинга, Numpy, TensorFlow, Решение проблем, Spark, PyTorch, Навыки деловых переговоров, SQL",Data Scientist
"Управление приоритетами, Обновление систем, Тестирование оборудования, Установка ПО, Техническая поддержка ПО, Удаленная помощь, Работа в команде, Финансовая грамотность, Работа с базами знаний",Инженер технической поддержки
"Оценка подвижности, Наставничество, Разработка программ реабилитации, Документирование прогресса, Разработка предложений, Реабилитация после операций, Массаж, Ответственность, Проведение лечебной физкультуры, Работа с травмированными пациентами",Физиотерапевт
"Проектирование систем, Масштабируемость, Ведение социальных сетей, Архитектура микросервисов, Azure, Принципы DevOps, Проектирование API, Сетевые технологии, Распределенные системы, Тайм-менеджмент, Контейнеризация, Навыки деловых переговоров",Системный архитектор
"Координация мероприятий, Консультация клиентов, Техники укладки феном, Деловая переписка, Мужские стрижки, Умение работать удаленно",Парикмахер
"Осмотр полости рта, Удаление зубов, Базовые юридические знания",Стоматолог
"Санитарные нормы, Стрижка волос, Отслеживание трендов, Уход за кожей головы, Химические обработки, Техники укладки феном, Наращивание волос, Окрашивание волос, Знание продукции, Эмоциональный интеллект, Мужские стрижки, Базовые юридические знания",Парикмахер
"Облачная безопасность, Проведение тестов на проникновение, Криптография, SIEM-системы, Обучаемость, Соблюдение сроков, Аудит безопасности, Разработка политик безопасности, Ответственность",Специалист по информационной безопасности
"Облачные вычисления, Балансировка нагрузки, Сетевые технологии, Azure, Контейнеризация, Постановка целей, Проектирование баз данных, Работа в команде",Системный архитектор
"Шифрование данных, Обнаружение вторжений, Penetration Testing, Работа с SOC, Анализ уязвимостей, Навыки деловых переговоров, Обеспечение безопасности облаков",Специалист по кибербезопасности
"Бетонные работы, Навыки деловых переговоров, Основы сварки, Строительная безопасность, Монтаж гипсокартона, Кровельные работы, Поддержание чистоты на рабочем месте, Чтение чертежей, Земляные работы, Решение проблем",Строитель
"Навыки исследования, React Native, Управление временем, CoreData, Xcode, MVVM",Мобильный разработчик
"Figma, Навыки деловых переговоров, Прототипирование, Основы анимации, InDesign, Дизайн UI/UX, Базовые юридические знания, Умение работать удаленно, Photoshop, Типографика, Illustrator",Графический дизайнер
"Управление сделками, Оценка эффективности, Анализ конкурентов, Анализ рынка, Ответственность, Решение проблем, Сегментация рынка, Построение сети контактов",Менеджер по развитию бизнеса
"Аналитическое мышление, Моделирование бизнес-процессов, Wireframing, Навыки исследования, Многозадачность",Бизнес-аналитик
"Публичные выступления, Хранилища данных, SQL, Моделирование данных, Hadoop, BigQuery, ETL-процессы",Инженер данных
"Базовые юридические знания, Кадровое делопроизводство, Проведение собеседований, Развитие бренда работодателя, Оценка кандидатов, Коммуникабельность, Работа с LinkedIn, Мониторинг рынка труда, Навыки коммуникации, Управление HR-системами, Решение конфликтов, Подбор персонала, Финансовая грамотность",HR-специалист
"Развертывание моделей, Гибкость мышления, SQL, Pandas",Data Scientist
"SQL, Data Lake Architecture, Наставничество, Cloud Storage, Apache Spark, Airflow, Контроль качества",Инженер по данным
"Локализация, Соблюдение конфиденциальности, Юридический перевод, Навыки редактирования, Точность перевода, Исследование терминологии, Синхронный перевод, Навыки исследования, Соблюдение сроков",Переводчик
"Профилактика заболеваний, Навыки деловых переговоров, Работа в команде, Управление пациентскими страхами, Осмотр полости рта, Удаление зубов, Проведение анестезии, Работа с рентгеном, Лечение кариеса, Диагностика заболеваний зубов",Стоматолог
"Криптография, Аналитика угроз, Разработка политик безопасности, Оценка рисков, Фаерволы, Соответствие стандартам (GDPR, HIPAA), Решение проблем, Основы компьютерной криминалистики, Проведение тестов на проникновение, Системы IDS/IPS, SIEM-системы",Специалист по информационной безопасности
"Настройка VPN, Безопасность сетей, Системы мониторинга, Администрирование Linux, Тайм-менеджмент, VMware, Сетевые технологии, Участие в мозговых штурмах, Навыки деловых переговоров, Настройка фаерволов, Bash-скрипты",Системный администратор
"Строительная безопасность, Кровельные работы, Управление изменениями, Монтаж гипсокартона, Подготовка площадки, Поддержание чистоты на рабочем месте, Монтаж строительных лесов",Строитель
"Визуализация данных, Excel, Работа в команде, Бизнес-анализ, Python, Работа в международной среде, Отслеживание KPI, Power BI, Статистика, Отчетность",Аналитик данных
"Умение работать удаленно, Работа с SQL, Когортный анализ, Понимание UX, Business Analysis, Работа с BI-инструментами",Аналитик по продукту
